RowType,SystemID,SystemType,ParameterNumber,LogTime,Value,AlertCode,Message,Priority,ParameterStatus,Commissioned,Quarantined,Available,Communicating,Running,StandBy,Maintenance
STATUS,MdxN3N4N5VG2000,16403,52,2019-12-04 16:36:51.840,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2001,16403,52,2019-12-04 16:36:52.241,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2002,16403,52,2019-12-04 16:36:52.642,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2003,16403,52,2019-12-04 16:36:53.043,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2004,16403,52,2019-12-04 16:36:53.445,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2005,16403,52,2019-12-04 16:36:53.846,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2006,16403,52,2019-12-04 16:36:54.247,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2007,16403,52,2019-12-04 16:36:54.648,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2008,16403,52,2019-12-04 16:36:55.049,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2009,16403,52,2019-12-04 16:36:55.451,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2010,16403,52,2019-12-04 16:36:55.852,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2011,16403,52,2019-12-04 16:36:56.253,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2012,16403,52,2019-12-04 16:36:56.654,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2013,16403,52,2019-12-04 16:36:57.056,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2014,16403,52,2019-12-04 16:36:57.457,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2015,16403,52,2019-12-04 16:36:57.859,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2016,16403,52,2019-12-04 16:36:58.261,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2017,16403,52,2019-12-04 16:36:58.662,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2018,16403,52,2019-12-04 16:36:59.064,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2019,16403,52,2019-12-04 16:36:59.466,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2020,16403,52,2019-12-04 16:36:59.868,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2021,16403,52,2019-12-04 16:37:00.269,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2022,16403,52,2019-12-04 16:37:00.670,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2023,16403,52,2019-12-04 16:37:01.071,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2024,16403,52,2019-12-04 16:37:01.472,0.00000000000,,IDS_4_STATUS_0,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2000,16403,52,2019-12-04 16:37:01.873,0.00000000000,,IDS_4_STATUS_1,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2001,16403,52,2019-12-04 16:37:02.274,0.00000000000,,IDS_4_STATUS_1,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2002,16403,52,2019-12-04 16:37:02.675,0.00000000000,,IDS_4_STATUS_1,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2003,16403,52,2019-12-04 16:37:03.077,0.00000000000,,IDS_4_STATUS_1,0,0,True,False,True,True,True,False,False
STATUS,MdxN3N4N5VG2004,16403,52,2019-12-04 16:37:03.478,0.00000000000,,IDS_4_STATUS_1,0,0,True,False,True,True,True,False,False
